UID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus
2853,Mar,4,Sunday,Toyota,Urban,Friday,Apr,1,Male,Married
7261,Apr,4,Saturday,Honda,Urban,Monday,Apr,4,Male,Married
9862,Jun,4,Sunday,Toyota,Rural,Monday,Jun,4,Female,Single
14037,Mar,2,Monday,Mazda,Urban,Monday,Mar,2,Male,Single
10199,Jun,3,Friday,Mazda,Urban,Tuesday,Jun,4,Female,Single
6221,Jan,4,Monday,Honda,Urban,Monday,Jan,4,Male,Single
1080,Sep,2,Tuesday,Pontiac,Urban,Wednesday,Sep,3,Male,Married
15327,Nov,3,Friday,Toyota,Urban,Thursday,Feb,2,Male,Married
3732,Apr,2,Wednesday,Pontiac,Urban,Monday,Apr,3,Male,Married
8167,Aug,4,Saturday,Honda,Urban,Tuesday,Aug,5,Male,Single
12867,Jun,2,Friday,Mazda,Urban,Monday,Jun,2,Male,Single
7103,Feb,3,Tuesday,Pontiac,Urban,Wednesday,Feb,3,Female,Single
6347,Aug,4,Tuesday,Honda,Urban,Thursday,Sep,1,Male,Married
10392,Feb,4,Monday,Mazda,Rural,Wednesday,Mar,1,Male,Single
4372,Aug,2,Tuesday,Chevrolet,Urban,Tuesday,Aug,2,Male,Married
9625,Sep,4,Friday,Mazda,Urban,Friday,Oct,3,Male,Married
12995,Jun,3,Thursday,Mazda,Urban,Wednesday,Jun,4,Male,Single
7378,Jun,3,Saturday,Honda,Urban,Monday,Jun,3,Male,Single
13006,Sep,1,Monday,Pontiac,Urban,Monday,Sep,2,Male,Married
7473,Feb,4,Monday,Chevrolet,Urban,Wednesday,Feb,4,Male,Single
10816,Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Female,Married
1309,Oct,1,Tuesday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married
11353,May,1,Monday,Chevrolet,Urban,Tuesday,May,3,Male,Single
830,Jan,4,Tuesday,Chevrolet,Urban,Tuesday,Jan,4,Male,Married
6564,Apr,5,Friday,Pontiac,Urban,Thursday,May,3,Male,Married
5527,Jun,3,Thursday,BMW,Rural,Monday,Jun,3,Male,Single
1578,Apr,3,Monday,Toyota,Urban,Wednesday,Apr,3,Male,Married
8387,Sep,4,Monday,Mazda,Urban,Monday,Sep,4,Male,Married
12174,May,2,Friday,Toyota,Urban,Wednesday,May,3,Male,Single
14488,May,3,Sunday,Honda,Urban,Tuesday,May,3,Male,Married
3631,Jan,2,Wednesday,Saab,Rural,Thursday,Jan,2,Female,Married
4011,Apr,3,Saturday,Chevrolet,Urban,Tuesday,Apr,3,Male,Married
9560,Feb,1,Saturday,Honda,Urban,Thursday,Feb,2,Male,Single
6133,Sep,4,Thursday,Honda,Urban,Friday,Sep,4,Male,Married
14138,Jul,2,Tuesday,Pontiac,Rural,Monday,Jul,3,Female,Married
7632,Jan,2,Sunday,Toyota,Urban,Wednesday,Mar,2,Male,Married
7165,Oct,2,Thursday,Honda,Urban,Wednesday,Nov,2,Male,Single
6308,Jul,2,Wednesday,Chevrolet,Urban,Thursday,Jul,3,Female,Single
11704,Apr,4,Thursday,Ford,Urban,Thursday,Jun,1,Male,Married
3012,Oct,4,Saturday,Honda,Rural,Thursday,Oct,4,Male,Married
12103,May,2,Thursday,Toyota,Urban,Friday,May,2,Male,Single
5787,Apr,1,Wednesday,Dodge,Urban,Tuesday,Apr,2,Male,Single
8078,Nov,3,Friday,Honda,Urban,Friday,Dec,2,Male,Single
14855,Dec,4,Thursday,Toyota,Urban,Thursday,Dec,4,Female,Married
3487,Dec,4,Thursday,Mazda,Urban,Sunday,Jan,1,Male,Married
13220,May,1,Friday,Toyota,Urban,Friday,May,1,Male,Married
12401,Jun,4,Wednesday,Mazda,Urban,Wednesday,Jun,5,Male,Married
3177,Dec,3,Wednesday,VW,Urban,Thursday,Jan,2,Male,Married
6013,Oct,5,Monday,Mazda,Urban,Thursday,Nov,1,Male,Single
1247,Mar,1,Wednesday,Accura,Urban,Wednesday,Mar,4,Male,Single
5400,May,4,Thursday,Honda,Rural,Thursday,May,5,Male,Single
13087,Jun,3,Tuesday,Pontiac,Urban,Wednesday,Jun,4,Male,Married
5749,Nov,4,Tuesday,Toyota,Urban,Tuesday,Nov,4,Male,Married
7252,Sep,4,Tuesday,Toyota,Urban,Saturday,Oct,1,Male,Married
14132,Aug,3,Friday,Ford,Urban,Tuesday,Aug,4,Male,Married
11570,Jul,2,Wednesday,Pontiac,Urban,Friday,Jul,3,Male,Married
2769,Nov,5,Wednesday,Honda,Urban,Thursday,Dec,1,Male,Single
7999,Aug,3,Friday,Mazda,Urban,Tuesday,Aug,4,Female,Married
6753,Apr,5,Saturday,Toyota,Urban,Friday,May,1,Male,Married
756,Mar,3,Sunday,Toyota,Urban,Monday,Mar,3,Male,Single
1564,Feb,4,Friday,Mazda,Urban,Friday,Feb,4,Male,Married
13004,Feb,2,Thursday,Mazda,Urban,Tuesday,Feb,3,Male,Single
12341,Nov,3,Tuesday,Honda,Urban,Monday,Nov,3,Male,Single
2716,Oct,3,Tuesday,Pontiac,Urban,Tuesday,Oct,3,Male,Married
9954,Jun,2,Thursday,Mazda,Rural,Friday,Jun,2,Male,Married
9453,Aug,4,Sunday,Pontiac,Urban,Thursday,Oct,2,Male,Married
11620,Apr,1,Monday,Mazda,Urban,Thursday,Apr,2,Male,Married
4377,Jun,2,Thursday,Accura,Rural,Monday,Jun,4,Female,Married
2232,Mar,1,Wednesday,Chevrolet,Urban,Thursday,Mar,1,Male,Married
6375,Jun,3,Saturday,Toyota,Urban,Wednesday,Jun,4,Male,Married
6893,Sep,1,Tuesday,Toyota,Urban,Wednesday,Sep,4,Male,Single
5122,Jul,3,Saturday,Mazda,Urban,Thursday,Aug,4,Male,Married
13319,Jul,1,Saturday,Honda,Urban,Tuesday,Jan,1,Male,Single
9904,Mar,4,Thursday,Nisson,Urban,Friday,Mar,4,Male,Married
