sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,uid
5.1,3.5,1.4,0.2,0,0
4.9,3.0,1.4,0.2,0,1
4.7,3.2,1.3,0.2,0,2
4.6,3.1,1.5,0.2,0,3
5.0,3.6,1.4,0.2,0,4
5.4,3.9,1.7,0.4,0,5
4.6,3.4,1.4,0.3,0,6
5.0,3.4,1.5,0.2,0,7
4.4,2.9,1.4,0.2,0,8
4.9,3.1,1.5,0.1,0,9
5.4,3.7,1.5,0.2,0,10
4.8,3.4,1.6,0.2,0,11
4.8,3.0,1.4,0.1,0,12
4.3,3.0,1.1,0.1,0,13
5.8,4.0,1.2,0.2,0,14
5.7,4.4,1.5,0.4,0,15
5.4,3.9,1.3,0.4,0,16
5.1,3.5,1.4,0.3,0,17
5.7,3.8,1.7,0.3,0,18
5.1,3.8,1.5,0.3,0,19
5.4,3.4,1.7,0.2,0,20
5.1,3.7,1.5,0.4,0,21
4.6,3.6,1.0,0.2,0,22
5.1,3.3,1.7,0.5,0,23
4.8,3.4,1.9,0.2,0,24
5.0,3.0,1.6,0.2,0,25
5.0,3.4,1.6,0.4,0,26
5.2,3.5,1.5,0.2,0,27
5.2,3.4,1.4,0.2,0,28
4.7,3.2,1.6,0.2,0,29
4.8,3.1,1.6,0.2,0,30
5.4,3.4,1.5,0.4,0,31
5.2,4.1,1.5,0.1,0,32
5.5,4.2,1.4,0.2,0,33
4.9,3.1,1.5,0.2,0,34
5.0,3.2,1.2,0.2,0,35
5.5,3.5,1.3,0.2,0,36
4.9,3.6,1.4,0.1,0,37
4.4,3.0,1.3,0.2,0,38
5.1,3.4,1.5,0.2,0,39
5.0,3.5,1.3,0.3,0,40
4.5,2.3,1.3,0.3,0,41
4.4,3.2,1.3,0.2,0,42
5.0,3.5,1.6,0.6,0,43
5.1,3.8,1.9,0.4,0,44
4.8,3.0,1.4,0.3,0,45
5.1,3.8,1.6,0.2,0,46
4.6,3.2,1.4,0.2,0,47
5.3,3.7,1.5,0.2,0,48
5.0,3.3,1.4,0.2,0,49
7.0,3.2,4.7,1.4,1,50
6.4,3.2,4.5,1.5,1,51
6.9,3.1,4.9,1.5,1,52
5.5,2.3,4.0,1.3,1,53
6.5,2.8,4.6,1.5,1,54
5.7,2.8,4.5,1.3,1,55
6.3,3.3,4.7,1.6,1,56
4.9,2.4,3.3,1.0,1,57
6.6,2.9,4.6,1.3,1,58
5.2,2.7,3.9,1.4,1,59
5.0,2.0,3.5,1.0,1,60
5.9,3.0,4.2,1.5,1,61
6.0,2.2,4.0,1.0,1,62
6.1,2.9,4.7,1.4,1,63
5.6,2.9,3.6,1.3,1,64
6.7,3.1,4.4,1.4,1,65
5.6,3.0,4.5,1.5,1,66
5.8,2.7,4.1,1.0,1,67
6.2,2.2,4.5,1.5,1,68
5.6,2.5,3.9,1.1,1,69
5.9,3.2,4.8,1.8,1,70
6.1,2.8,4.0,1.3,1,71
6.3,2.5,4.9,1.5,1,72
6.1,2.8,4.7,1.2,1,73
6.4,2.9,4.3,1.3,1,74
