age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid
60,blue-collar,married,primary,no,0,no,no,cellular,22,aug,195,1,-1,0,unknown,no,22606
49,blue-collar,married,primary,no,239,no,no,cellular,22,aug,90,3,-1,0,unknown,no,22607
49,blue-collar,married,primary,no,397,no,no,cellular,22,aug,263,1,-1,0,unknown,no,22608
47,blue-collar,married,primary,no,0,no,no,cellular,22,aug,98,3,-1,0,unknown,no,22609
32,self-employed,married,tertiary,no,102,no,no,cellular,22,aug,398,5,-1,0,unknown,no,22610
37,housemaid,married,primary,no,655,yes,no,cellular,22,aug,160,1,-1,0,unknown,no,22611
30,technician,married,secondary,no,394,no,no,cellular,22,aug,216,13,-1,0,unknown,no,22612
38,management,married,tertiary,no,441,yes,yes,cellular,22,aug,82,7,-1,0,unknown,no,22613
53,housemaid,married,unknown,no,0,no,no,cellular,22,aug,207,1,-1,0,unknown,no,22614
44,self-employed,married,secondary,no,465,no,no,cellular,22,aug,160,1,-1,0,unknown,no,22615
31,technician,single,secondary,no,-466,no,no,cellular,22,aug,142,1,-1,0,unknown,no,22616
40,self-employed,married,secondary,no,2,no,no,cellular,22,aug,197,5,-1,0,unknown,no,22617
41,management,divorced,tertiary,no,369,yes,no,telephone,22,aug,9,3,-1,0,unknown,no,22618
44,technician,married,secondary,no,56,no,no,cellular,22,aug,148,8,-1,0,unknown,no,22619
30,management,divorced,tertiary,no,0,no,no,cellular,22,aug,209,2,-1,0,unknown,no,22620
33,technician,married,tertiary,no,29,no,no,cellular,22,aug,94,1,-1,0,unknown,no,22621
33,technician,single,secondary,no,635,no,no,cellular,22,aug,124,1,-1,0,unknown,no,22622
31,management,single,tertiary,no,34,no,no,cellular,22,aug,121,1,-1,0,unknown,no,22623
33,management,single,secondary,no,15,no,no,cellular,22,aug,199,1,-1,0,unknown,no,22624
32,management,married,tertiary,no,2172,yes,no,cellular,22,aug,306,4,-1,0,unknown,no,22625
57,housemaid,married,unknown,no,0,no,no,cellular,22,aug,173,1,-1,0,unknown,no,22626
44,housemaid,married,primary,no,41,no,no,cellular,22,aug,299,1,-1,0,unknown,no,22627
41,housemaid,married,primary,no,46,no,no,cellular,22,aug,268,1,-1,0,unknown,no,22628
40,management,married,secondary,no,830,no,no,cellular,22,aug,155,6,-1,0,unknown,no,22629
59,blue-collar,married,primary,no,63,no,no,cellular,22,aug,176,6,-1,0,unknown,no,22630
35,technician,single,secondary,no,126,no,no,cellular,22,aug,112,2,-1,0,unknown,no,22631
33,technician,single,tertiary,no,0,no,no,cellular,22,aug,135,3,-1,0,unknown,no,22632
33,technician,single,secondary,no,0,no,no,cellular,22,aug,208,1,-1,0,unknown,no,22633
33,unknown,married,tertiary,no,8971,no,no,cellular,22,aug,138,1,-1,0,unknown,no,22634
45,technician,single,secondary,no,11,no,no,cellular,22,aug,247,1,-1,0,unknown,no,22635
35,technician,single,secondary,no,24,no,no,cellular,22,aug,392,1,-1,0,unknown,no,22636
52,self-employed,married,tertiary,no,583,yes,no,cellular,22,aug,132,1,-1,0,unknown,no,22637
58,services,married,secondary,no,818,no,no,cellular,22,aug,283,1,-1,0,unknown,no,22638
60,retired,married,unknown,no,963,no,no,cellular,22,aug,148,10,-1,0,unknown,no,22639
51,unemployed,married,secondary,no,234,no,no,cellular,22,aug,735,1,-1,0,unknown,yes,22640
39,technician,married,secondary,no,140,no,no,cellular,22,aug,110,1,-1,0,unknown,no,22641
34,management,single,tertiary,no,0,no,no,cellular,22,aug,174,1,-1,0,unknown,no,22642
38,technician,married,secondary,no,299,no,no,cellular,22,aug,200,1,-1,0,unknown,no,22643
33,management,married,tertiary,no,52,no,no,cellular,22,aug,311,1,-1,0,unknown,no,22644
32,technician,divorced,tertiary,no,53,no,no,cellular,22,aug,671,2,-1,0,unknown,yes,22645
50,services,married,secondary,no,26394,no,no,cellular,25,aug,206,4,-1,0,unknown,no,22646
31,technician,married,tertiary,no,1385,no,no,cellular,25,aug,116,8,-1,0,unknown,no,22647
31,technician,single,secondary,no,4028,no,yes,cellular,25,aug,139,5,-1,0,unknown,no,22648
60,retired,married,secondary,no,0,no,no,cellular,25,aug,87,2,-1,0,unknown,no,22649
46,technician,married,secondary,no,520,no,no,cellular,25,aug,61,4,-1,0,unknown,no,22650
57,retired,married,primary,no,3518,yes,no,cellular,25,aug,626,3,-1,0,unknown,yes,22651
50,blue-collar,married,primary,no,19,no,no,cellular,25,aug,103,3,-1,0,unknown,no,22652
39,technician,divorced,secondary,no,115,no,no,cellular,25,aug,116,9,-1,0,unknown,no,22653
50,management,married,tertiary,no,135,no,no,cellular,25,aug,162,4,-1,0,unknown,no,22654
36,management,married,tertiary,no,591,yes,no,cellular,25,aug,109,5,-1,0,unknown,no,22655
36,management,single,tertiary,no,86,no,no,cellular,25,aug,48,4,-1,0,unknown,no,22656
58,technician,married,tertiary,no,0,no,no,cellular,25,aug,540,4,-1,0,unknown,no,22657
31,management,single,tertiary,no,0,no,no,cellular,25,aug,191,5,-1,0,unknown,no,22658
30,management,single,tertiary,no,77,no,no,cellular,25,aug,342,3,-1,0,unknown,no,22659
52,services,married,secondary,no,381,no,yes,cellular,25,aug,288,12,-1,0,unknown,no,22660
53,unknown,married,unknown,no,0,no,no,cellular,25,aug,209,5,-1,0,unknown,no,22661
51,technician,married,tertiary,no,-3,no,no,cellular,25,aug,91,9,-1,0,unknown,no,22662
33,technician,single,secondary,no,-32,no,no,cellular,25,aug,196,12,-1,0,unknown,no,22663
48,management,divorced,tertiary,no,0,no,no,cellular,25,aug,110,3,-1,0,unknown,no,22664
60,retired,married,primary,no,155,no,no,cellular,25,aug,115,7,-1,0,unknown,no,22665
50,management,divorced,tertiary,no,0,no,no,cellular,25,aug,57,3,-1,0,unknown,no,22666
59,blue-collar,married,primary,no,6271,yes,no,cellular,25,aug,102,5,-1,0,unknown,no,22667
33,technician,single,tertiary,no,137,no,no,cellular,25,aug,88,4,-1,0,unknown,no,22668
37,self-employed,married,secondary,no,119,no,no,cellular,25,aug,68,4,-1,0,unknown,no,22669
45,blue-collar,married,primary,no,185,no,no,cellular,25,aug,78,4,-1,0,unknown,no,22670
47,management,married,secondary,no,1083,no,no,cellular,25,aug,141,4,-1,0,unknown,no,22671
41,technician,married,secondary,no,2039,no,no,cellular,25,aug,160,4,-1,0,unknown,no,22672
52,management,married,tertiary,no,967,no,no,cellular,25,aug,472,10,-1,0,unknown,no,22673
35,technician,single,tertiary,no,275,yes,no,cellular,25,aug,63,5,-1,0,unknown,no,22674
34,technician,married,secondary,no,47,no,no,cellular,25,aug,132,6,-1,0,unknown,no,22675
36,management,married,tertiary,no,1235,no,no,cellular,25,aug,85,6,-1,0,unknown,no,22676
32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132,8,-1,0,unknown,no,22677
36,management,married,tertiary,no,3874,no,no,cellular,25,aug,425,6,-1,0,unknown,no,22678
58,blue-collar,married,unknown,no,9,no,no,cellular,25,aug,50,23,-1,0,unknown,no,22679
43,technician,married,secondary,no,136,no,no,cellular,25,aug,363,7,-1,0,unknown,yes,22680
55,blue-collar,married,secondary,no,467,no,no,cellular,25,aug,129,5,-1,0,unknown,no,22681
33,technician,single,secondary,no,161,no,no,cellular,25,aug,66,9,-1,0,unknown,no,22682
51,blue-collar,married,primary,no,581,no,no,cellular,25,aug,121,4,-1,0,unknown,no,22683
43,management,married,tertiary,no,676,no,no,cellular,25,aug,143,4,-1,0,unknown,no,22684
33,technician,single,secondary,no,9,no,yes,cellular,25,aug,145,8,-1,0,unknown,no,22685
32,technician,married,secondary,no,1840,yes,no,cellular,25,aug,99,13,-1,0,unknown,no,22686
37,management,married,tertiary,no,0,no,no,cellular,25,aug,112,4,-1,0,unknown,no,22687
48,management,single,tertiary,no,830,no,no,cellular,25,aug,961,4,-1,0,unknown,yes,22688
40,technician,divorced,secondary,no,237,no,no,cellular,25,aug,87,5,-1,0,unknown,no,22689
30,technician,married,secondary,no,384,no,no,cellular,25,aug,73,3,-1,0,unknown,no,22690
37,management,married,tertiary,no,566,no,no,cellular,25,aug,463,4,-1,0,unknown,no,22691
46,admin.,married,secondary,no,1083,no,no,cellular,25,aug,67,9,-1,0,unknown,no,22692
53,technician,divorced,secondary,no,394,no,no,cellular,25,aug,103,5,-1,0,unknown,no,22693
38,management,divorced,tertiary,no,2350,no,no,cellular,25,aug,234,12,-1,0,unknown,no,22694
49,admin.,married,secondary,no,635,no,no,cellular,25,aug,220,3,-1,0,unknown,no,22695
33,management,single,tertiary,no,9135,yes,no,cellular,25,aug,80,4,-1,0,unknown,no,22696
56,blue-collar,married,unknown,no,3197,no,no,cellular,25,aug,83,13,-1,0,unknown,no,22697
34,technician,single,secondary,no,1174,no,no,cellular,25,aug,136,17,-1,0,unknown,no,22698
32,technician,married,secondary,no,79,yes,no,cellular,25,aug,417,4,-1,0,unknown,no,22699
46,blue-collar,married,primary,no,575,no,no,cellular,25,aug,129,3,-1,0,unknown,no,22700
38,technician,divorced,secondary,no,631,yes,no,cellular,25,aug,343,2,-1,0,unknown,no,22701
44,management,divorced,tertiary,no,96,no,no,cellular,25,aug,119,2,-1,0,unknown,no,22702
42,technician,divorced,tertiary,no,343,no,no,cellular,25,aug,87,4,-1,0,unknown,no,22703
