sepal length (cm),sepal width (cm),petal length (cm),uid
5.1,3.5,1.4,0
4.9,3.0,1.4,1
4.7,3.2,1.3,2
4.6,3.1,1.5,3
5.0,3.6,1.4,4
5.4,3.9,1.7,5
4.6,3.4,1.4,6
5.0,3.4,1.5,7
4.4,2.9,1.4,8
4.9,3.1,1.5,9
5.4,3.7,1.5,10
4.8,3.4,1.6,11
4.8,3.0,1.4,12
4.3,3.0,1.1,13
5.8,4.0,1.2,14
5.7,4.4,1.5,15
5.4,3.9,1.3,16
5.1,3.5,1.4,17
5.7,3.8,1.7,18
5.1,3.8,1.5,19
5.4,3.4,1.7,20
5.1,3.7,1.5,21
4.6,3.6,1.0,22
5.1,3.3,1.7,23
4.8,3.4,1.9,24
5.0,3.0,1.6,25
5.0,3.4,1.6,26
5.2,3.5,1.5,27
5.2,3.4,1.4,28
4.7,3.2,1.6,29
4.8,3.1,1.6,30
5.4,3.4,1.5,31
5.2,4.1,1.5,32
5.5,4.2,1.4,33
4.9,3.1,1.5,34
5.0,3.2,1.2,35
5.5,3.5,1.3,36
4.9,3.6,1.4,37
4.4,3.0,1.3,38
5.1,3.4,1.5,39
5.0,3.5,1.3,40
4.5,2.3,1.3,41
4.4,3.2,1.3,42
5.0,3.5,1.6,43
5.1,3.8,1.9,44
4.8,3.0,1.4,45
5.1,3.8,1.6,46
4.6,3.2,1.4,47
5.3,3.7,1.5,48
5.0,3.3,1.4,49
7.0,3.2,4.7,50
6.4,3.2,4.5,51
6.9,3.1,4.9,52
5.5,2.3,4.0,53
6.5,2.8,4.6,54
5.7,2.8,4.5,55
6.3,3.3,4.7,56
4.9,2.4,3.3,57
6.6,2.9,4.6,58
5.2,2.7,3.9,59
5.0,2.0,3.5,60
5.9,3.0,4.2,61
6.0,2.2,4.0,62
6.1,2.9,4.7,63
5.6,2.9,3.6,64
6.7,3.1,4.4,65
5.6,3.0,4.5,66
5.8,2.7,4.1,67
6.2,2.2,4.5,68
5.6,2.5,3.9,69
5.9,3.2,4.8,70
6.1,2.8,4.0,71
6.3,2.5,4.9,72
6.1,2.8,4.7,73
6.4,2.9,4.3,74
6.6,3.0,4.4,75
6.8,2.8,4.8,76
6.7,3.0,5.0,77
6.0,2.9,4.5,78
5.7,2.6,3.5,79
5.5,2.4,3.8,80
5.5,2.4,3.7,81
5.8,2.7,3.9,82
6.0,2.7,5.1,83
5.4,3.0,4.5,84
6.0,3.4,4.5,85
6.7,3.1,4.7,86
6.3,2.3,4.4,87
5.6,3.0,4.1,88
5.5,2.5,4.0,89
5.5,2.6,4.4,90
6.1,3.0,4.6,91
5.8,2.6,4.0,92
5.0,2.3,3.3,93
5.6,2.7,4.2,94
5.7,3.0,4.2,95
5.7,2.9,4.2,96
6.2,2.9,4.3,97
5.1,2.5,3.0,98
5.7,2.8,4.1,99
6.3,3.3,6.0,100
5.8,2.7,5.1,101
7.1,3.0,5.9,102
6.3,2.9,5.6,103
6.5,3.0,5.8,104
7.6,3.0,6.6,105
4.9,2.5,4.5,106
7.3,2.9,6.3,107
6.7,2.5,5.8,108
7.2,3.6,6.1,109
6.5,3.2,5.1,110
6.4,2.7,5.3,111
6.8,3.0,5.5,112
5.7,2.5,5.0,113
5.8,2.8,5.1,114
6.4,3.2,5.3,115
6.5,3.0,5.5,116
7.7,3.8,6.7,117
7.7,2.6,6.9,118
6.0,2.2,5.0,119
6.9,3.2,5.7,120
5.6,2.8,4.9,121
7.7,2.8,6.7,122
6.3,2.7,4.9,123
6.7,3.3,5.7,124
7.2,3.2,6.0,125
6.2,2.8,4.8,126
6.1,3.0,4.9,127
6.4,2.8,5.6,128
7.2,3.0,5.8,129
7.4,2.8,6.1,130
7.9,3.8,6.4,131
6.4,2.8,5.6,132
6.3,2.8,5.1,133
6.1,2.6,5.6,134
7.7,3.0,6.1,135
6.3,3.4,5.6,136
6.4,3.1,5.5,137
6.0,3.0,4.8,138
6.9,3.1,5.4,139
6.7,3.1,5.6,140
6.9,3.1,5.1,141
5.8,2.7,5.1,142
6.8,3.2,5.9,143
6.7,3.3,5.7,144
6.7,3.0,5.2,145
6.3,2.5,5.0,146
6.5,3.0,5.2,147
6.2,3.4,5.4,148
5.9,3.0,5.1,149
