age,job,marital,education,default,balance,housing,loan,uid
49,entrepreneur,married,secondary,no,1160,yes,no,2831
30,blue-collar,married,primary,no,1480,yes,no,3102
30,technician,single,secondary,no,1286,no,no,23752
31,admin.,married,secondary,no,23,no,no,14479
33,technician,married,tertiary,no,-258,no,no,13052
29,unemployed,single,secondary,no,2424,no,no,30654
54,retired,married,primary,no,11,yes,yes,21269
45,admin.,married,unknown,no,2033,no,no,39738
57,services,married,primary,no,2893,no,no,19783
34,student,married,tertiary,no,387,yes,no,5641
41,services,married,secondary,no,3992,yes,no,26184
45,management,divorced,secondary,no,644,yes,no,8719
59,retired,married,secondary,no,5706,yes,no,17008
30,admin.,married,tertiary,no,1717,no,yes,12499
52,services,married,primary,no,3016,yes,yes,29528
54,services,married,secondary,no,158,yes,no,4110
39,blue-collar,single,primary,no,1530,yes,no,9767
25,blue-collar,married,secondary,no,192,yes,no,7043
67,retired,divorced,primary,no,2027,no,no,43299
42,entrepreneur,single,secondary,no,1049,yes,yes,33326
38,blue-collar,married,secondary,no,2467,no,no,39938
45,blue-collar,married,secondary,no,247,yes,no,35830
38,management,married,secondary,no,124,no,no,21875
44,admin.,married,secondary,yes,-204,yes,no,35788
56,blue-collar,divorced,secondary,no,9698,yes,no,33529
31,management,divorced,tertiary,no,414,no,yes,44214
51,entrepreneur,married,tertiary,no,228,yes,no,35313
41,technician,married,tertiary,no,680,no,no,19258
57,technician,married,secondary,no,2625,no,no,21018
29,admin.,married,secondary,no,488,no,yes,12778
51,admin.,married,secondary,no,42,yes,no,37302
50,blue-collar,divorced,primary,no,5,no,no,13024
50,technician,divorced,secondary,no,636,yes,no,34945
29,self-employed,single,tertiary,no,1579,no,no,44151
46,technician,married,tertiary,no,-369,yes,yes,30717
45,technician,single,secondary,no,819,no,yes,24397
43,blue-collar,married,secondary,no,948,yes,no,32589
35,unemployed,married,tertiary,no,816,yes,no,25836
37,management,married,tertiary,no,825,yes,no,20339
46,blue-collar,married,secondary,no,870,no,yes,18333
43,management,married,tertiary,no,9,yes,no,35630
61,retired,married,secondary,no,123,no,no,40519
46,management,married,tertiary,no,0,no,no,23257
54,retired,divorced,tertiary,no,3076,no,no,39698
31,blue-collar,single,secondary,no,-806,yes,yes,16675
64,retired,married,secondary,no,588,no,no,42697
46,blue-collar,married,primary,no,296,yes,no,8891
43,technician,married,secondary,no,328,no,no,22416
53,entrepreneur,married,primary,no,55,no,no,39903
37,blue-collar,married,secondary,no,121,yes,yes,37516
40,admin.,married,secondary,no,2199,no,no,9583
46,technician,single,secondary,no,747,yes,no,35123
38,admin.,married,secondary,no,-241,no,no,28291
42,management,single,tertiary,no,7560,no,no,42779
23,admin.,single,secondary,no,1358,no,no,39708
51,services,married,secondary,no,-437,no,yes,18185
60,management,married,primary,no,295,no,no,9677
39,technician,single,tertiary,no,285,no,no,21533
39,technician,married,secondary,no,1587,yes,no,39889
28,housemaid,single,secondary,no,781,yes,no,32515
50,management,married,tertiary,yes,-143,yes,no,3196
31,management,married,tertiary,no,271,no,no,25033
48,blue-collar,married,primary,no,5172,yes,no,6554
53,technician,married,secondary,no,237,yes,no,15757
59,unknown,married,unknown,no,1541,no,no,19070
39,admin.,married,secondary,no,0,yes,no,15012
51,blue-collar,single,secondary,no,936,yes,no,6265
29,blue-collar,single,secondary,no,114,yes,no,35010
51,admin.,married,secondary,no,4178,yes,no,7615
41,blue-collar,married,secondary,no,14,yes,no,37637
38,technician,married,secondary,no,299,no,no,22643
52,blue-collar,single,primary,no,3421,no,no,11994
54,technician,married,primary,no,-1818,yes,no,15182
31,admin.,single,secondary,no,1201,no,no,30806
30,technician,married,secondary,no,33,yes,no,39154
32,management,single,tertiary,no,933,yes,no,36965
42,management,married,tertiary,no,0,no,yes,36754
40,blue-collar,married,secondary,no,195,yes,no,34418
35,blue-collar,divorced,primary,no,4401,yes,no,18544
42,blue-collar,married,primary,no,792,yes,yes,26062
29,management,married,tertiary,no,103,yes,no,32877
39,technician,married,secondary,no,1820,no,no,42359
41,self-employed,married,unknown,no,1377,yes,no,38109
31,services,married,secondary,no,-538,no,yes,6508
35,blue-collar,married,secondary,no,1454,yes,no,33665
34,technician,married,secondary,no,563,yes,yes,23948
42,services,married,secondary,no,693,yes,no,2678
45,technician,married,secondary,no,1786,yes,yes,14717
57,self-employed,single,primary,no,6056,yes,no,27647
28,technician,single,secondary,no,3,no,no,39179
27,admin.,single,secondary,no,-172,no,yes,31004
31,unemployed,married,secondary,no,20,no,no,27866
41,technician,divorced,secondary,no,4047,yes,no,34381
42,admin.,single,secondary,no,-847,yes,no,6253
39,management,married,tertiary,no,0,yes,no,36108
33,blue-collar,married,secondary,no,467,yes,no,4877
37,blue-collar,married,secondary,no,7,yes,yes,35325
53,management,married,primary,no,351,yes,no,6425
46,retired,married,primary,no,270,yes,yes,28400
44,housemaid,divorced,secondary,no,653,no,no,24734
26,blue-collar,married,secondary,no,128,no,no,12602
38,unknown,married,unknown,no,653,no,no,23945
47,services,divorced,secondary,no,-288,yes,no,6954
38,management,single,tertiary,no,1819,no,no,30214
62,admin.,married,secondary,no,4608,no,no,44778
29,technician,single,tertiary,no,48,yes,no,16236
57,admin.,divorced,secondary,no,1878,yes,no,24242
35,management,single,tertiary,no,181,yes,no,19836
30,blue-collar,single,secondary,no,583,no,no,39279
38,admin.,single,secondary,no,4803,no,no,44203
34,blue-collar,married,secondary,no,1,yes,no,13598
34,management,single,tertiary,no,2570,no,no,6607
